player,nation,position,season,age,matches,starts,minutes,nineties,goals,assists,goals_assists,goals_minus_pk,pk,pk_att,yellow_cards,red_cards,goals_p90,assists_p90,shots,shots_on_target,xg,goals_above_xg,xg_p90,tackles_won,interceptions,defensive_actions,fouls,crosses,pass_completion_pct
Temwa Chaŵinga,MWI,MF,2024,25,25,24,2142,23.8,20,5,25,20,0,0,1,0,0.84,0.21,100,56,11.0,9.0,0.46,29,9,38,35,21,85.1
Lo'eau LaBonta,USA,MF,2024,30,24,21,1920,21.3,6,1,7,3,3,3,2,0,0.28,0.05,32,11,3.52,2.48,0.17,30,34,64,20,12,84.4
Hailie Mace,USA,DF,2024,26,23,20,1798,20.0,0,1,1,0,0,0,5,0,0.0,0.05,15,2,1.65,-1.65,0.08,36,38,74,16,32,86.0
Vanessa DiBernardo,USA,MF,2024,31,23,20,1531,17.0,5,6,11,5,0,0,3,0,0.29,0.35,35,8,3.85,1.15,0.23,26,25,51,19,70,83.1
Claire Hutton,USA,MF,2024,18,22,19,1653,18.4,0,1,1,0,0,0,3,0,0.0,0.05,30,8,3.3,-3.3,0.18,38,34,72,22,2,83.5
Izzy Rodriguez,USA,DF,2024,24,21,18,1513,16.8,1,2,3,1,0,0,1,0,0.06,0.12,12,3,1.32,-0.32,0.08,24,37,61,14,103,85.4
Adrianna Franch,USA,GK,2024,33,17,17,1530,17.0,0,0,0,0,0,0,1,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,73.5
Debinha,BRA,MF,2024,32,22,17,1464,16.3,3,6,9,3,0,0,0,0,0.18,0.37,42,11,4.62,-1.62,0.28,18,17,35,4,39,82.9
Michelle Cooper,USA,MF,2024,21,21,15,1344,14.9,3,2,5,3,0,0,2,0,0.2,0.13,39,10,4.29,-1.29,0.29,22,12,34,26,50,82.5
Ellie Wheeler,USA,DF,2024,22,23,14,1429,15.9,1,0,1,1,0,0,2,0,0.06,0.0,9,5,0.99,0.01,0.06,23,22,45,13,34,85.2
Elizabeth Ball,USA,DF,2024,28,19,12,1221,13.6,1,3,4,1,0,0,0,0,0.07,0.22,4,2,0.44,0.56,0.03,13,14,27,8,1,84.7
Stine Ballisager Pedersen,DEN,DF,2024,30,18,11,1067,11.9,1,0,1,1,0,0,0,0,0.08,0.0,3,1,0.33,0.67,0.03,0,0,0,0,0,84.4
Gabrielle Robinson,USA,DF,2024,22,11,11,925,10.3,1,0,1,1,0,0,2,0,0.1,0.0,7,2,0.77,0.23,0.07,0,0,0,0,0,84.1
Beatriz,BRA,FW,2024,30,16,11,866,9.6,5,4,9,5,0,0,0,0,0.52,0.42,29,10,3.19,1.81,0.33,13,4,17,14,10,75.8
Alana Cook,USA,DF,2024,26,10,10,855,9.5,0,0,0,0,0,0,1,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,83.9
Almuth Schult,GER,GK,2024,32,9,9,810,9.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,69.5
Nichelle Prince,CAN,FW,2024,28,13,9,732,8.1,2,2,4,2,0,0,0,0,0.25,0.25,22,8,2.42,-0.42,0.3,0,0,0,0,0,75.2
Kayla Sharples,USA,DF,2024,26,8,8,689,7.7,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,83.5
Alexa Spaanstra,USA,MF,2024,23,11,8,592,6.6,1,1,2,1,0,0,1,0,0.15,0.15,12,5,1.32,-0.32,0.2,0,0,0,0,0,80.0
Bayley Feist,USA,MF,2024,26,16,6,572,6.4,1,0,1,1,0,0,0,0,0.16,0.0,19,6,2.09,-1.09,0.33,0,0,0,0,0,79.9
Claire Lavogez,FRA,FW,2024,29,14,4,481,5.3,2,0,2,2,0,0,2,0,0.38,0.0,20,9,2.2,-0.2,0.42,0,0,0,0,0,74.1
Lauren,BRA,DF,2024,21,3,1,78,0.9,1,0,1,1,0,0,0,0,1.11,0.0,0,0,0.0,1.0,0.0,0,0,0,0,0,82.2
Regan Steigleder,NOR,DF,2024,25,3,1,72,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,82.2
Alex Pfeiffer,USA,FW,2024,16,10,0,138,1.5,1,0,1,1,0,0,0,0,0.67,0.0,0,0,0.0,1.0,0.0,0,0,0,0,0,72.6
Desiree Scott,CAN,MF,2024,36,11,0,136,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,78.5
Kristen Hamilton,USA,FW,2024,31,3,0,87,1.0,1,0,1,1,0,0,0,0,1.0,0.0,0,0,0.0,1.0,0.0,0,0,0,0,0,72.4
Hildah Magaia,RSA,FW,2024,29,6,0,50,0.6,0,0,0,0,0,0,1,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,72.2
Mwanalima Jereko,KEN,MF,2024,26,3,0,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,78.2
Lorena,BRA,GK,2025,27,24,24,2160,24.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,77.0
Kayla Sharples,USA,DF,2025,27,24,23,2087,23.2,2,1,3,2,0,0,1,0,0.09,0.04,11,6,1.21,0.79,0.05,20,17,37,12,1,86.6
Izzy Rodriguez,USA,DF,2025,25,26,22,2076,23.1,1,6,7,1,0,0,1,0,0.04,0.26,17,5,1.87,-0.87,0.08,21,41,62,19,140,86.6
Claire Hutton,USA,MF,2025,19,25,22,1818,20.2,0,2,2,0,0,0,4,0,0.0,0.1,20,3,2.2,-2.2,0.11,47,43,90,23,5,84.1
Lo'eau LaBonta,USA,MF,2025,31,23,21,1954,21.7,5,0,5,0,5,5,3,0,0.23,0.0,23,8,2.53,2.47,0.12,31,28,59,15,8,84.5
Temwa Chaŵinga,MWI,FW,2025,26,23,21,1809,20.1,15,3,18,15,0,0,0,0,0.75,0.15,60,33,6.6,8.4,0.33,28,9,37,16,9,80.0
Beatriz,BRA,FW,2025,31,24,19,1586,17.6,7,3,10,7,0,0,0,0,0.4,0.17,43,17,4.73,2.27,0.27,17,8,25,31,16,79.0
Debinha,BRA,MF,2025,33,22,17,1462,16.2,8,1,9,7,1,1,0,0,0.49,0.06,43,20,4.73,3.27,0.29,13,5,18,7,38,82.9
Michelle Cooper,USA,MF,2025,22,20,17,1227,13.6,6,3,9,6,0,0,3,0,0.44,0.22,38,15,4.18,1.82,0.31,18,8,26,24,41,82.1
Hailie Mace,USA,DF,2025,27,23,15,1524,16.9,0,5,5,0,0,0,2,0,0.0,0.3,5,1,0.55,-0.55,0.03,23,39,62,20,6,85.4
Ellie Wheeler,USA,DF,2025,23,21,15,1312,14.6,1,1,2,1,0,0,1,0,0.07,0.07,15,4,1.65,-0.65,0.11,13,18,31,8,17,84.9
Elizabeth Ball,USA,DF,2025,29,19,14,1338,14.9,1,0,1,1,0,0,1,0,0.07,0.0,7,2,0.77,0.23,0.05,12,14,26,6,0,85.0
Vanessa DiBernardo,USA,MF,2025,32,13,11,886,9.8,0,1,1,0,0,0,1,0,0.0,0.1,11,2,1.21,-1.21,0.12,0,0,0,0,0,80.9
Raquel Rodríguez,CRC,MF,2025,31,20,7,716,8.0,0,0,0,0,0,0,4,0,0.0,0.0,7,2,0.77,-0.77,0.1,14,13,27,22,2,80.4
Ally Sentnor,USA,MF,2025,20,11,7,665,7.4,0,0,0,0,0,0,1,0,0.0,0.0,16,3,1.76,-1.76,0.24,0,0,0,0,0,80.2
Alana Cook,USA,DF,2025,27,7,7,586,6.5,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,83.3
Nichelle Prince,CAN,FW,2025,29,21,6,754,8.4,1,1,2,1,0,0,1,0,0.12,0.12,19,7,2.09,-1.09,0.25,26,10,36,23,26,75.4
Gabrielle Robinson,USA,DF,2025,23,8,6,399,4.4,0,0,0,0,0,0,0,1,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,82.9
Haley Hopkins,USA,MF,2025,26,20,3,440,4.9,1,3,4,1,0,0,1,0,0.2,0.61,9,4,0.99,0.01,0.2,0,0,0,0,0,79.5
Laurel Ivory,USA,GK,2025,25,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,66.0
Lacho Marta,ANG,FW,2025,25,6,2,157,1.7,0,0,0,0,0,0,0,0,0.0,0.0,5,1,0.55,-0.55,0.32,0,0,0,0,0,72.7
Katie Scott,USA,DF,2025,17,2,2,121,1.3,0,0,0,0,0,0,1,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,82.3
Mary Long,USA,FW,2025,18,10,1,186,2.1,0,1,1,0,0,0,0,0,0.0,0.48,0,0,0.0,0.0,0.0,0,0,0,0,0,72.8
Bayley Feist,USA,MF,2025,27,9,1,172,1.9,0,0,0,0,0,0,2,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,78.6
Alex Pfeiffer,USA,MF,2025,17,4,1,95,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,78.3
Regan Steigleder,NOR,MF,2025,26,1,0,28,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,78.1
Mwanalima Jereko,KEN,MF,2025,27,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,78.0
